Producers,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Music,Mystery,Romance,Science,Thriller,War,Western
Artist International,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Artist International Management,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Artists Production Group (APG),1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,1,0,0
Artists Public Domain,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Arts Council of England,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
Arturo González Producciones Cinematográficas S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Artémis Productions,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Asahi Soft Drinks Company,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ascendant Pictures,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0
Ascension Pictures,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Ascension Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ashton Productions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asia Union Film & Entertainment Ltd.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Asis Productions,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Asmik Ace Entertainment,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
Assassin Films,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Bellevue Pathé,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Films,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Media,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
Asymmetrical Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Atchity Entertainment International (AEI),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Atlantic Swiss Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Atlantic Television,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Atlas 3 Productions,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
Atlas Entertainment,6,6,0,4,4,0,4,0,5,1,0,0,0,0,1,1,1,4,0,0
Atman Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atmosphere Entertainment MM,4,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0
Atomic Monster,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Attitude Pinículas y Films A.I.E.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
August Entertainment,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Australian Film Finance Corporation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Australian Film Finance Corporation (AFFC),1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0
Automatik Entertainment,2,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,1,5,0,0
Autonomous,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Avalanche Productions,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Avenue Pictures Productions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Aversano Films,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Avery Pix,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,1,2,0,0
Avi Arad Productions,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avon Production,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Axon Films,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Azoff Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B.H. Finance C.V.,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
B24,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Earth,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BBC Earth MD (WWD),0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BBC Films,0,0,0,7,2,0,18,1,0,0,0,1,1,1,3,6,0,5,2,0
BBC Worldwide,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCDF Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BH Tilt,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
BIM Distribuzione,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0
BK,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
BN Films,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
BNDES,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
BSM Studio,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babbo Inc.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Babe Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe Ruthless Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babelsberg Film,4,4,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
Babieka,1,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
Baby Cow Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babylon,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
